Borough,Value 2021,Value 2011
Brent,56.1,55.1
Westminster,55.6,53.3
Kensington and Chelsea,53.9,51.6
Newham,53.7,53.7
Harrow,51.1,44.8
Ealing,50.8,48.2
City of London,49.6,36.7
Hounslow,49.5,43.3
Tower Hamlets,46.8,43.1
Haringey,45.8,44.6
Hammersmith and Fulham,45.5,42.8
Camden,45.4,42.5
Redbridge,43.6,36.9
Barnet,43.2,38.9
Barking and Dagenham,41.3,30.9
Merton,40.9,37.8
Southwark,40.7,39.4
Enfield,40.4,35.1
Islington,39.9,35.4
Hackney,39.7,39.1
Lambeth,38.6,38.9
Waltham Forest,38.6,38.6
Hillingdon,38.5,30.0
Wandsworth,37.9,35.4
Greenwich,37.5,31.0
Lewisham,35.6,33.7
Croydon,34.9,29.6
Kingston upon Thames,33.7,28.3
Richmond upon Thames,28.8,24.3
Sutton,27.8,19.9
Bexley,21.0,14.1
Bromley,20.3,14.5
Havering,19.4,10.3
