Country Name,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP per capita (current US$),,,,,,,,183.53,200.46,221.66,255.06,274.00,375.08,387.85,443.85,554.59,621.91,663.14,651.99,628.15,592.48,520.25,530.15,502.06,500.52,516.87,363.67,
Albania,GDP per capita (current US$),750.60,1009.98,717.38,813.79,1033.24,1126.68,1281.66,1425.12,1846.12,2373.58,2673.79,2972.74,3595.04,4370.54,4114.13,4094.35,4437.14,4247.63,4413.06,4578.63,3952.80,4124.06,4531.03,5287.66,5396.21,5343.04,6377.20,6802.80
Algeria,GDP per capita (current US$),1466.54,1619.53,1634.47,1610.30,1602.86,1780.38,1754.58,1794.81,2117.05,2624.80,3131.33,3500.13,3971.80,4946.56,3898.48,4495.92,5473.28,5610.73,5519.78,5516.23,4197.42,3967.20,4134.94,4171.80,4021.98,3354.16,3700.31,4273.92
Andorra,GDP per capita (current US$),18731.65,19081.54,18253.09,18592.24,18884.17,21620.47,22809.09,24784.96,31954.16,37630.76,39583.93,43084.29,50562.86,53721.41,49750.69,48237.89,51428.20,44902.38,44747.75,45680.53,38885.53,39931.22,40632.23,42904.83,41328.60,37207.22,42072.34,41992.79
Angola,GDP per capita (current US$),399.74,523.31,514.31,423.39,387.69,556.88,527.46,872.66,982.81,1254.70,1900.72,2597.96,3121.35,4081.72,3123.70,3496.78,4511.15,4962.55,5101.98,5059.08,3100.83,1709.52,2283.21,2487.50,2142.24,1502.95,1903.72,2998.50
Antigua and Barbuda,GDP per capita (current US$),8440.03,9079.48,9556.83,10029.48,10379.16,11010.20,10502.94,10549.67,10968.89,11650.85,12808.01,14310.69,16006.14,16457.10,14530.60,13404.52,13117.15,13686.48,13350.15,14004.81,14861.88,15862.65,16110.31,17514.36,18187.78,15284.77,16740.35,18745.17
Argentina,GDP per capita (current US$),7383.70,7690.16,8176.77,8250.67,7735.32,7666.52,7168.98,2579.49,3333.15,4258.16,5086.63,5890.98,7210.60,8977.51,8184.39,10385.96,12848.74,13082.66,13080.25,12334.80,13789.06,12790.26,14613.04,11795.16,9963.67,8496.43,10636.12,13686.01
Armenia,GDP per capita (current US$),441.89,484.09,501.16,584.38,575.63,603.30,676.15,765.32,910.17,1166.64,1608.16,2109.53,3064.28,3908.95,2917.37,3143.03,3462.68,3643.72,3833.16,4017.23,3666.14,3679.95,4042.00,4391.92,4828.50,4505.87,4966.51,7014.21
Aruba,GDP per capita (current US$),17140.43,17375.23,18713.43,19742.32,19833.83,21023.16,20913.30,21377.10,22050.83,24104.65,24975.67,25833.45,27665.43,29011.56,25739.14,24452.93,26044.44,25609.96,26515.68,26942.31,28421.39,28451.27,29326.71,30918.52,31902.76,24487.86,29342.10,
Australia,GDP per capita (current US$),20446.72,22020.08,23645.06,21478.39,20698.71,21853.45,19681.65,20290.78,23705.91,30819.99,34460.54,36570.76,41023.75,49681.22,42810.47,52132.47,62598.69,68047.38,68156.39,62515.31,56708.96,49876.71,53934.15,57206.99,54941.07,51722.07,60444.50,64491.43
Austria,GDP per capita (current US$),30325.85,29809.08,26705.48,27361.88,27183.48,24625.60,24558.76,26527.59,32294.05,36889.23,38417.46,40669.33,46915.34,51919.98,48153.32,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51466.56,50070.40,48809.23,53637.71,52131.45
Azerbaijan,GDP per capita (current US$),314.56,409.19,505.52,561.91,573.89,655.10,703.67,763.11,883.69,1045.01,1578.37,2472.96,3851.33,5574.47,4950.40,5843.53,7189.82,7495.86,7875.34,7890.84,5500.50,3880.69,4147.20,4739.80,4805.75,4229.91,5408.05,7736.70
Bahamas. The,GDP per capita (current US$),11447.02,11835.39,20415.71,21665.39,23991.70,24849.61,25234.14,26590.14,26204.88,26393.41,28280.87,28829.85,29687.87,29013.63,27120.69,27046.66,26644.93,28059.66,27389.60,28720.66,29724.95,29675.54,30708.99,31483.98,32279.01,23998.27,28260.43,31458.30
Bahrain,GDP per capita (current US$),9543.39,9643.31,9728.45,9195.43,9566.10,12738.77,12291.83,12820.00,14230.30,15777.96,17705.24,19057.80,20883.55,23155.82,19448.18,21186.81,23741.56,25102.73,25790.73,25464.76,22795.45,22867.18,24349.91,25415.85,25869.11,23433.19,26860.07,30152.03
Bangladesh,GDP per capita (current US$),322.09,387.38,395.32,401.97,404.49,413.10,410.05,407.96,440.71,469.12,492.81,503.54,552.34,630.11,698.52,776.86,856.38,876.82,973.77,1108.51,1236.00,1659.96,1815.61,1963.41,2122.08,2233.31,2457.92,2688.30
Barbados,GDP per capita (current US$),8451.96,8994.32,9491.48,10685.26,11173.95,11560.25,11510.04,11658.63,11998.18,12828.44,14173.75,15595.64,17219.05,17550.66,16310.46,16489.80,16907.21,16691.33,16893.61,16924.19,16990.22,17343.73,17843.20,18224.89,19002.96,16643.81,17225.46,20018.52
Belarus,GDP per capita (current US$),1370.70,1452.51,1396.44,1511.33,1210.61,1276.29,1244.37,1479.38,1819.53,2378.34,3126.07,3848.22,4735.48,6376.18,5352.49,6034.68,6527.65,6953.22,7998.08,8341.29,5967.07,5039.78,5785.53,6360.05,6837.77,6542.86,7489.72,7904.86
Belgium,GDP per capita (current US$),28413.83,27489.56,24820.94,25338.44,25252.80,23098.89,23015.07,25006.19,30655.21,35429.41,36809.70,38705.11,44319.17,48303.40,44760.29,44184.95,47410.57,44670.56,46757.95,47764.07,41008.30,42012.62,44198.48,47544.98,46641.71,45517.90,51268.39,49582.83
Belize,GDP per capita (current US$),4021.01,4057.85,3997.84,4063.90,4189.35,4642.15,4687.63,4816.65,4916.70,5106.05,5212.66,5475.72,5707.11,5656.41,5349.00,5397.29,5521.37,5645.90,5887.93,6068.09,6142.48,6148.71,6100.99,6059.16,6210.57,5266.88,6228.27,6968.36
Benin,GDP per capita (current US$),358.82,380.59,355.14,372.88,541.70,503.00,508.35,564.38,698.41,784.12,805.90,837.13,944.64,1098.95,1061.72,1009.49,1099.41,1112.57,1214.30,1251.50,1041.65,1049.82,1095.27,1194.44,1170.97,1237.95,1361.10,1303.22
Bermuda,GDP per capita (current US$),33989.72,44826.79,48478.88,51371.74,54245.46,56284.17,58883.96,62583.10,66111.73,70359.32,75882.03,95221.86,104287.39,106935.49,101407.76,101875.28,97774.16,98431.87,99471.64,98467.68,102005.63,106885.88,111820.58,113050.74,116153.17,107791.89,111774.67,118845.62
Bhutan,GDP per capita (current US$),550.66,564.49,644.09,652.36,699.33,722.83,765.01,841.37,951.74,1050.13,1201.43,1299.63,1714.03,1780.11,1768.75,2194.13,2491.27,2470.07,2409.44,2589.90,2695.64,2879.55,3240.71,3210.71,3303.96,3009.93,3266.36,
Bolivia,GDP per capita (current US$),856.37,925.85,973.96,1025.41,981.75,977.33,930.88,888.20,892.36,951.95,1018.31,1200.07,1351.04,1687.58,1725.15,1922.06,2304.98,2562.47,2853.80,3022.46,2975.65,3013.50,3280.01,3471.01,3472.38,3068.81,3345.20,3523.27
Bosnia and Herzegovina,GDP per capita (current US$),497.68,712.95,907.15,1000.42,1128.40,1332.21,1382.77,1602.56,2031.40,2451.58,2741.08,3170.17,3936.93,4846.79,4542.31,4506.93,4980.91,4688.35,5025.24,5196.97,4654.61,4917.26,5327.39,6024.49,6094.72,6095.10,7230.20,7585.38
Botswana,GDP per capita (current US$),3064.59,3063.99,3100.17,2893.33,3242.14,3351.70,3115.68,3029.79,4111.74,4818.21,5240.32,5142.91,5372.34,5345.85,4938.25,6041.73,7080.78,6392.99,6436.60,6844.03,5869.74,6411.55,6705.34,6947.82,6691.16,5875.07,7238.80,7737.65
Brazil,GDP per capita (current US$),4704.96,5121.91,5240.13,5049.77,3456.42,3726.81,3142.24,2824.72,3056.65,3623.22,4773.27,5866.02,7323.19,8801.76,8569.90,11249.29,13200.56,12327.52,12258.56,12071.40,8783.21,8680.74,9896.72,9121.02,8845.32,6923.70,7696.79,8917.67
Brunei,GDP per capita (current US$),15827.99,16706.47,16593.43,12653.81,14065.70,17971.89,16437.43,16817.24,18521.36,21839.26,25991.21,30767.75,32337.28,37427.55,27497.54,34609.70,46139.11,46844.20,43950.06,41035.77,30681.44,26762.04,28186.98,31241.02,30748.32,27179.34,31448.91,37152.47
