Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Aruba,ABW,Net migration,SM.POP.NETM,1960,-788
Africa Eastern and Southern,AFE,Net migration,SM.POP.NETM,1960,-102704
Afghanistan,AFG,Net migration,SM.POP.NETM,1960,2606
Africa Western and Central,AFW,Net migration,SM.POP.NETM,1960,-759
Angola,AGO,Net migration,SM.POP.NETM,1960,-40935
Albania,ALB,Net migration,SM.POP.NETM,1960,13734
Andorra,AND,Net migration,SM.POP.NETM,1960,639
Arab World,ARB,Net migration,SM.POP.NETM,1960,-78553
United Arab Emirates,ARE,Net migration,SM.POP.NETM,1960,3102
Argentina,ARG,Net migration,SM.POP.NETM,1960,20387
Armenia,ARM,Net migration,SM.POP.NETM,1960,11827
American Samoa,ASM,Net migration,SM.POP.NETM,1960,-257
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,1960,-351
Australia,AUS,Net migration,SM.POP.NETM,1960,85707
Austria,AUT,Net migration,SM.POP.NETM,1960,-1732
Azerbaijan,AZE,Net migration,SM.POP.NETM,1960,-148
Burundi,BDI,Net migration,SM.POP.NETM,1960,-14620
Belgium,BEL,Net migration,SM.POP.NETM,1960,9893
Benin,BEN,Net migration,SM.POP.NETM,1960,-4722
Burkina Faso,BFA,Net migration,SM.POP.NETM,1960,-23220
Bangladesh,BGD,Net migration,SM.POP.NETM,1960,13580
Bulgaria,BGR,Net migration,SM.POP.NETM,1960,-1112
Bahrain,BHR,Net migration,SM.POP.NETM,1960,1266
Bahamas, The,BHS,Net migration,1960,SM.POP.NETM
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,1960,-6481
Belarus,BLR,Net migration,SM.POP.NETM,1960,-27382
Belize,BLZ,Net migration,SM.POP.NETM,1960,-577
Bermuda,BMU,Net migration,SM.POP.NETM,1960,-57
Bolivia,BOL,Net migration,SM.POP.NETM,1960,-3144
Brazil,BRA,Net migration,SM.POP.NETM,1960,4066
Barbados,BRB,Net migration,SM.POP.NETM,1960,-3315
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,1960,982
Bhutan,BTN,Net migration,SM.POP.NETM,1960,1481
Botswana,BWA,Net migration,SM.POP.NETM,1960,-4331
Central African Republic,CAF,Net migration,SM.POP.NETM,1960,474
Canada,CAN,Net migration,SM.POP.NETM,1960,49694
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,1960,-58018
Switzerland,CHE,Net migration,SM.POP.NETM,1960,22313
Channel Islands,CHI,Net migration,SM.POP.NETM,1960,385
Chile,CHL,Net migration,SM.POP.NETM,1960,-27184
China,CHN,Net migration,SM.POP.NETM,1960,-16927
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,1960,31307
Cameroon,CMR,Net migration,SM.POP.NETM,1960,0
Congo, Dem. Rep.,COD,Net migration,1960,SM.POP.NETM
Congo, Rep.,COG,Net migration,1960,SM.POP.NETM
Colombia,COL,Net migration,SM.POP.NETM,1960,-49115
Comoros,COM,Net migration,SM.POP.NETM,1960,-1406
Cabo Verde,CPV,Net migration,SM.POP.NETM,1960,-2267
Costa Rica,CRI,Net migration,SM.POP.NETM,1960,910
Caribbean small states,CSS,Net migration,SM.POP.NETM,1960,-13827
Cuba,CUB,Net migration,SM.POP.NETM,1960,-25396
Curacao,CUW,Net migration,SM.POP.NETM,1960,-1530
Cayman Islands,CYM,Net migration,SM.POP.NETM,1960,-24
Cyprus,CYP,Net migration,SM.POP.NETM,1960,3766
Czechia,CZE,Net migration,SM.POP.NETM,1960,2748
Germany,DEU,Net migration,SM.POP.NETM,1960,212666
Djibouti,DJI,Net migration,SM.POP.NETM,1960,886
Dominica,DMA,Net migration,SM.POP.NETM,1960,-759
Denmark,DNK,Net migration,SM.POP.NETM,1960,-4047
Dominican Republic,DOM,Net migration,SM.POP.NETM,1960,-13344
Algeria,DZA,Net migration,SM.POP.NETM,1960,-55212
East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,1960,-102382
Early-demographic dividend,EAR,Net migration,SM.POP.NETM,1960,46031
East Asia & Pacific,EAS,Net migration,SM.POP.NETM,1960,-40790
Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,1960,207619
