Country Name,Indicator Name,Year,Value
Afghanistan,GDP per capita (current US$),1995,
Albania,GDP per capita (current US$),1995,750.6
Algeria,GDP per capita (current US$),1995,1466.54
Andorra,GDP per capita (current US$),1995,18731.65
Angola,GDP per capita (current US$),1995,399.74
Antigua and Barbuda,GDP per capita (current US$),1995,8440.03
Argentina,GDP per capita (current US$),1995,7383.7
Armenia,GDP per capita (current US$),1995,441.89
Aruba,GDP per capita (current US$),1995,17140.43
Australia,GDP per capita (current US$),1995,20446.72
Austria,GDP per capita (current US$),1995,30325.85
Azerbaijan,GDP per capita (current US$),1995,314.56
Bahamas. The,GDP per capita (current US$),1995,11447.02
Bahrain,GDP per capita (current US$),1995,9543.39
Bangladesh,GDP per capita (current US$),1995,322.09
Barbados,GDP per capita (current US$),1995,8451.96
Belarus,GDP per capita (current US$),1995,1370.7
Belgium,GDP per capita (current US$),1995,28413.83
Belize,GDP per capita (current US$),1995,4021.01
Benin,GDP per capita (current US$),1995,358.82
Bermuda,GDP per capita (current US$),1995,33989.72
Bhutan,GDP per capita (current US$),1995,550.66
Bolivia,GDP per capita (current US$),1995,856.37
Bosnia and Herzegovina,GDP per capita (current US$),1995,497.68
Botswana,GDP per capita (current US$),1995,3064.59
Brazil,GDP per capita (current US$),1995,4704.96
Brunei,GDP per capita (current US$),1995,15827.99
Bulgaria,GDP per capita (current US$),1995,2259.26
Burkina Faso,GDP per capita (current US$),1995,229.83
Burundi,GDP per capita (current US$),1995,168.63
Cambodia,GDP per capita (current US$),1995,315.14
Cameroon,GDP per capita (current US$),1995,822.36
Canada,GDP per capita (current US$),1995,20678.95
Cape Verde,GDP per capita (current US$),1995,1184.18
Cayman Islands,GDP per capita (current US$),1995,
Central African Republic,GDP per capita (current US$),1995,340.4
Chad,GDP per capita (current US$),1995,209.89
Chile,GDP per capita (current US$),1995,5094.51
China,GDP per capita (current US$),1995,609.6
Colombia,GDP per capita (current US$),1995,2571.47
Comoros,GDP per capita (current US$),1995,823.68
Congo. Dem. Rep.,GDP per capita (current US$),1995,130.38
Congo. Rep.,GDP per capita (current US$),1995,771.61
Costa Rica,GDP per capita (current US$),1995,3240.71
Cote d'Ivoire,GDP per capita (current US$),1995,769.26
Croatia,GDP per capita (current US$),1995,4930.34
Cuba,GDP per capita (current US$),1995,2784.9
Cyprus,GDP per capita (current US$),1995,15261.41
Czech Republic,GDP per capita (current US$),1995,5823.97
Denmark,GDP per capita (current US$),1995,35351.58
Djibouti,GDP per capita (current US$),1995,790.52
Dominica,GDP per capita (current US$),1995,3967.03
Dominican Republic,GDP per capita (current US$),1995,2114.09
East Timor,GDP per capita (current US$),1995,
